"Feature","MeanRelativeAbundance"
"Anaerofustis",3.79534416580936e-05
"Longicatena",3.52524201856982e-05
"Dialister_36337",3.47456190490856e-05
"Nanogingivalis",3.46942950699143e-05
"Leuconostoc_B",3.2314038997896e-05
"Parvimonas",3.18005059035023e-05
"Oribacterium",2.84404051071009e-05
"Actinomyces",2.55304423687211e-05
"Lactobacillus",2.25082730228188e-05
"Lactococcus_A_346120",2.22017074679832e-05
"1_Clostridiaceae_222000(F)",1.95528761293049e-05
"Hydrotalea",1.60757212228557e-05
"Fusobacterium_C",1.26410432068612e-05
"Peptostreptococcus",1.25285645768271e-05
"Peptoniphilus_A",6.44159992528315e-06
"Sphingomonas_L_486704",3.18878567852576e-06
"Finegoldia",3.15340031155595e-06
"Mesorhizobium_I",0
