"Feature","MeanRelativeAbundance"
"Parabacteroides_B_862066",0.00213305017703798
"Lachnoclostridium_B",0.00208201382314091
"Acidaminococcus",0.00206199840087785
"1_Lachnospiraceae(F)",0.00200591705163713
"Parasutterella_564865",0.00191475219391373
"Massilistercora",0.00173678028259974
"Sellimonas",0.00164884421311012
"Onthenecus",0.00162509269619536
"UMGS1071",0.00158862246951186
"Pauljensenia",0.00151399387533321
"Clostridium_AP_143938",0.00148084139856042
"Fenollaria",0.00138420321157614
"Limiplasma",0.00132154602241522
"Dialister_37762",0.00127965632827739
"1_Acutalibacteraceae(F)",0.00127879647181872
"CAG-217",0.00126685825936282
"Agathobaculum",0.00120901233392967
"Merdimonas",0.00117808806948631
"Faecousia",0.00116966644652387
"Hominicoprocola",0.00109562400317657
"Porphyromonas_A",0.00106738497179921
"Lachnospira",0.000984319476874498
"Vescimonas",0.000964147348380745
"Lancefieldella",0.000946897245839765
"Coprococcus_A_187866",0.000926608814930717
"Anaerotardibacter",0.000907212611628178
"Adlercreutzia_A_404257",0.000881237672103487
"Eubacterium_G_180878",0.000864815739355793
"Gordonibacter",0.000844128369334628
"1_Anaerovoracaceae(F)",0.000780947455081531
"Ruminococcus_C_58660",0.000752519441684249
"Prevotella",0.000734610152664077
"Blautia_A_141893",0.000708291938156746
"2_CAG-508(F)",0.000706468238520793
"Ventrisoma",0.000676103650615647
"1_Peptostreptococcaceae_256921(F)",0.000615836896713431
"Nanosynbacter",0.000587369411903672
"Eubacterium_F",0.000575981202406475
"Bulleidia",0.000567658906485818
"Hungatella_A_128155",0.000527577867884212
"1_Aristaeellaceae(F)",0.000519240814239239
"Corynebacterium",0.000502966943595929
"Schaedlerella",0.000502244630574262
"1_Coprobacillaceae(F)",0.000489384802771137
"Evtepia",0.000488611161777184
"Eubacterium_I",0.000485262232431522
"Dysosmobacter",0.000440841904913436
"Alitiscatomonas",0.00042549268687647
"Coprococcus_A_121497",0.000406567320215614
"UBA5905",0.000378826589780137
"Ezakiella",0.000376709564157286
"UBA737",0.000370603116221301
"Anaeromassilibacillus",0.000365951325080408
"Hominisplanchenecus_A",0.000349010857165625
"1_Mitochondria(F)",0.000336658760160218
"1_Eggerthellaceae(F)",0.000312756667251637
"Staphylococcus",0.000311859748101749
"UBA644",0.00031042366006831
"Dorea_D_146760",0.000300612845225341
"Alistipes_A_871404",0.000294295142950009
"1_Christensenellales(O)",0.000282500854529151
"1_Bacteria(K)",0.000271322659128808
"SFMI01",0.000269960742265866
"Hominibacterium",0.000266028390485542
"Limivicinus",0.000262175681678567
"Lactococcus_A_346120",0.000258082887346006
"1_Clostridiaceae_222000(F)",0.000256763322505469
"Flavobacterium",0.000256089923906351
"Acetatifactor",0.000255884021117594
"Clostridium_A_51961",0.000245715287822664
"Hominenteromicrobium",0.000232858303454395
"Ruminiclostridium_E",0.000214510872516196
"Leuconostoc_B",0.0002048899814221
"Pseudomonas_E_647464",0.00020242777482607
"Longicatena",0.000197261367466774
"Christensenella",0.00019202231481107
"Odoribacter_865974",0.000191484796992785
"Holdemania",0.000186115729479225
"Lawsonibacter",0.000176672739661782
"Holdemanella",0.000176168581091135
"2_Oscillospiraceae_88309(F)",0.000167804172011275
"Limivivens",0.000164643136201987
"Muricomes_149720",0.000162393148961826
"Saccharimonas",0.000160814595321258
"Intestinimonas",0.000154087349145026
"1_Christensenellaceae(F)",0.000150422320253146
"Lactobacillus",0.000127588092922063
"Finegoldia",0.000123830148810221
"1_Ruminococcaceae(F)",0.000120305122286528
"Butyricimonas",0.000116931284387023
"Onthomonas",0.000114970300254844
"Nanogingivalis",0.000112016681501286
"Merdibacter",0.000108627403890609
"Merdimmobilis",0.000107403147438957
"Fusobacterium_C",0.000103497342732644
"Lawsonella",0.00010190709808889
"Slackia",9.81504510058251e-05
"Anaerotruncus",9.69869890523546e-05
"Huintestinicola",9.54217204705539e-05
"Peptostreptococcus",8.77852158015956e-05
"Parvimonas",8.66828075159229e-05
"Desulfovibrio_446353",8.30813337862428e-05
"Paludihabitans",8.30220516591601e-05
"SFLA01",8.27767901324633e-05
"Peptoniphilus_A",7.57045953563851e-05
"1_Anaerotignaceae(F)",7.48623046075146e-05
"Clostridium_R_135822",7.45665508804876e-05
"2_Anaerovoracaceae(F)",7.1427532590723e-05
"Oribacterium",7.09638603667377e-05
"1_UBA9973(F)",6.40514353573299e-05
"Angelakisella",6.40040502522542e-05
"1_Oscillospiraceae_88309(F)",6.33520854312963e-05
"Anaerofustis",5.96754310602475e-05
"PeH17",4.28872096228244e-05
"2_Lachnospiraceae(F)",4.18340979946981e-05
"Otoolea_134252",4.1136789784272e-05
"Acutalibacter",4.10977162539602e-05
"Actinomyces",3.7472096741029e-05
"Lacticaseibacillus",3.41787826049505e-05
"Dielma",3.35366924606886e-05
"Anaerotignum_189125",2.9777091460398e-05
"UBA9973",2.61835676211257e-05
"Hydrotalea",2.61008012945997e-05
"Hydrogeniiclostridium",2.60877868944554e-05
"Sutterella",2.28059531597584e-05
"1_CAG-138(F)",1.96846325033857e-05
"1_QAKW01(F)",1.87283246105541e-05
"Sphingomonas_L_486704",1.86811384190827e-05
"RUG13077",1.591130041476e-05
"1_Clostridia_258483(C)",1.50625714273622e-05
"Negativibacillus",1.49577668741282e-05
"Dialister_36337",7.45737179845707e-06
"Mesorhizobium_I",0
"Oxalobacter",0
